名称,面板,位置
自动油门,P18-1,E1（DC1）和E3(可能没有)
左ADIRU/左惯导,P18-1,E5（DC）和E7(AC)
左ADIRU/左惯导,P18-2,E8（ADIRU LEFT EXC）
右ADIRU/右惯导,P6-1,C14（AC）和C17(DC)、C15（ADIRU RIGHT EXC）
1号高频/HF1,P18-2,E11（HF1）
2号高频/HF2,P6-1,D2（HF2）
1号甚高频/VHF1,P18-2,D11（VHF1）
2号甚高频/VHF2,P6-1,C3（VHF2）
3号甚高频/VHF3/ACARS,P18-2,D12（VHF3）
ACARS/CMU,P6-1,E7(AC)和E9(DC)
CVR/语音记录器,P18-2,D6(voice RCDR RIPS)或D7（voice RCDR）
机长时钟,P6-3,A1（CLOCK DISPLAY）和A2(CLOCK)
副驾驶时钟,P6-3,A1（CLOCK DISPLAY）和A2(CLOCK)
打印机,P6-1,E5（PRTR）
FDR/飞行数据记录器,P18-2,C9（AC）和C10（DC）
DEU1/CDS FAULT/DISPLAY SOURCE/CDS MAINT,P18-2,D5（DEU1 PRI）
DEU1/CDS FAULT/DISPLAY SOURCE/CDS MAINT,P6-1,D10（ DEU1 HOLDUP）
DEU2/CDS FAULT/DISPLAY SOURCE/CDS MAINT,P6-1,D11（DEU2 PRI）
DEU2/CDS FAULT/DISPLAY SOURCE/CDS MAINT,P6-1,D9（ DEU2 HOLDUP）
VOR1,P18-1,A1（VOR/MKR BCN 1）
机长导航控制板,P18-1,A3（NAV CONT PNL 1）
VOR2,P6-1,A12（VOR2）
副驾驶导航控制板,P6-1,A15（NAV CONT PNL 2）
RA1/左侧无线电高度,P18-1,B4（RADIO ALTM 1）
RA2/右侧无线电高度,P6-1,A16（RADIO ALTM 2）
气象雷达,P6-1,D13（RADAR R/T）
TCAS,P18-1,B6（TCAS）
GPWC/近地警告,P18-1,A7（TERRAIN　DISPLAY ）和B7（GND PROX WARN）
ATC1,P18-1,B5(ATC 1)
ATC2,P6-1,D14(ATC 2)
DME1,P18-1,B3（DME1）
DME2,P6-1,A14（DME2）
ADF1,P18-1,A4（ADF1）
ADF2,P6-1,A17（ADF2）
GPS1,P18-1,A2(MMR1)
GPS2,P6-1,A13（MMR2）
MCDU1,P18-2,A7(MCDU1)
MCDU2,P6-1,D15(MCDU2)
FMC1,P18-2,A6(CMPTR 1)
FMC2,P6-1,D16(CMPTR 2)
ISFD,P18-2,D8(ISFD)
ISFD,E4-1,部件上面跳开关
增压面板异常,P6-4,F1\F3\F5\F6\F7（全部）
左PACK灯,P6-4,A9(DC)\A11(AC)
左PACK灯（SRADA INLET信息）,P6-4(先闭合A4),A4( MOD LEFT)和A9(DC)和A11(AC)
左PACK灯（TCV信息）,P6-4,A1（TCV CLOSE LEFT）
右PACK灯,P6-4,B9(DC)\B11(AC)
右PACK灯（SRADA INLET信息）,P6-4(先闭合B4),B4( MOD RIGHT)\B9(DC)\B11(AC)
右PACK灯（TCV信息）,P6-4,B1（TCV CLOSE RIGHT）
ZONG TEMP（驾驶舱）,P6-4,A9(DC)\A11(AC)
ZONG TEMP（客舱）,P6-4,B9(DC)\B11(AC)
ZONG TEMP（驾驶舱TAV）,P6-4,B3(FLT DK)
ZONG TEMP（前客舱TAV）,P6-4,B2(FWD PASS)
ZONG TEMP（后客舱TAV）,P6-4,A3(AFT PASS)
设备冷却OFF灯/低流量传感器,P18-3,A17(SUPPLY)/A18(EXHAUST)
驾驶舱监控,P6-12,B1(CAMERA)
卫星通讯,P18-2,E13/E14/E15
ELEC（STAT INV信息）,SPCU,A5(INVERTER REMOTE)
ELEC（SPCU信息信息）关车复位,SPCU,B1(SPCU NORMAL)/B2(SPCU STBY)
前乘务员控制板,P6-1,D12(ATTEND PANELS)
货舱火警DISCH灯不亮,P18-3,B16(EXT2)/B17(EXT1)
燃油量指示,P6-3,A3(CONT)/A4(IND)/A5(QTY2)/A6(QTY1)
燃油泵/燃油增压泵不工作（左前）,P91,D1/D2和R19
燃油泵/燃油增压泵不工作（左后）,P92,D1/D2和R18
燃油泵/燃油增压泵不工作（右前）,P92,D3/D4和R21
燃油泵/燃油增压泵不工作（右后）,P91,D3/D4和R20
燃油泵/燃油增压泵不工作（左中）,P91,D5/D6和R54
燃油泵/燃油增压泵不工作（右中）,P92,D5/D6和R55
A系统EMDP不工作,P92,C8/F3，按压M1105上的RESET，敲击R317
B系统EMDP不工作,P91,C8/F3，按压M1106上的RESET，敲击R318
机长皮托管指示故障/pitot/probe,P6-3,F18(INDICATION CAPT)
机长皮托管加温故障/pitot/probe,P18-3,C1(HEATERS CAPT PITOT)
副驾驶皮托管指示故障/pitot/probe,P6-3,F16(INDICATION F/O)
副驾驶皮托管加温故障/pitot/probe,P18-3,D5(HEATERS F/O PITOT)
辅助皮托管加温故障/aux,P18-3,D6(HEATERS AUX PITOT)
左侧升降舵皮托管故障/pitot/probe,P18-3,C4(ELEV PITOT LEFT)
右侧升降舵皮托管故障/pitot/probe,P18-3,D4(ELEV PITOT RIGHT)
客舱应急灯,P6-11,A9(CABIN EMER LIGHTS)
污水真空泵/三个厕所不出水,P91,C11/F2
饮用水增压泵,P91,D11
后厨房断电,P91,F7
左前风挡过热灯亮,P18-3,E1（LEFT FRONT AC ）
左前风挡过热灯亮,P6-11,B9(LEFT FRONT)
右前风挡过热灯亮,P18-3,D1（RIGHT FRONT AC ）
右前风挡过热灯亮,P6-12,B8(RIGHT FRONT)
左2风挡过热灯亮,P18-3,D2(window heat control left side ac)
左2风挡过热灯亮,P6-12,B9(LEFT SIDE)
右2风挡过热灯亮,P18-3,E2(window heat control RIGHT side ac)
右2风挡过热灯亮,P6-11,B8(RIGHT SIDE)
左侧雨刷马达/风挡雨刮,P18-3,B3(WIPER LEFT)
右侧雨刷马达/风挡雨刮,P18-3,B1(WIPER right)
安定面配平,P18-1（首选）,C2（STABLIZER TRIM）
安定面配平,P6-2（次选）,B10（STAB TRIM cont）/D10(STAB TRIM ACTUATOR)
左侧抖杆(马达),P18-2,E4（STICK SHAKER LEFT）
左侧抖杆（SMYD）,P18-2,E5(SMYD-1 CMPTR DC)/E6(SMYD-1 SNSR EXC AC)
右侧抖杆,P6-1,B6（STICK SHAKER RIGHT）
右侧抖杆（SMYD）,P6-1,B5(SMYD-1 CMPTR DC)/B4(SMYD-1 SNSR EXC AC)
偏航阻尼,P18-1,C7(damper AC)/D6(DAMPER 2 DC)/D7(DAMPER 1 DC )